recorded;info
2022-11-03T00:00:00;Closed
2022-11-03T09:15:00;Open
2022-11-03T09:45:00;Closed
2022-11-03T13:25:00;Open
2022-11-03T14:00:00;Closed
2022-11-04T09:30:00;Open
2022-11-04T10:10:00;Closed
2022-11-05T09:47:00;Open
2022-11-05T10:44:00;Closed
2022-11-06T17:00:00;Open
2022-11-06T18:00:00;Closed
2022-11-07T07:45:00;Open
2022-11-07T08:00:00;Closed
2022-11-08T08:45:00;Open
2022-11-08T10:45:00;Closed
2022-11-09T09:20:00;Open
2022-11-09T18:32:00;Closed
2022-11-10T20:18:00;Closed
